Time,Close,Open,High,Low,Volume
2003-10-09,1369.17,1371.68,1379.99,1367.65,556920000
2003-10-08,1371.68,1366.2,1373.08,1359.5,432480000
2003-09-30,1367.16,1354.65,1371.07,1348.22,605960000
2003-09-29,1355.34,1369.44,1369.48,1353.24,487950000
2003-09-26,1370.84,1374.6,1377.87,1367.75,454290000
2003-09-25,1376.29,1394.49,1394.74,1374.79,478100000
2003-09-24,1394.23,1391.4,1396.94,1386.79,591950000
2003-09-23,1390.17,1380.85,1390.35,1372.85,697180000
2003-09-22,1381.44,1392.9,1395.07,1378.32,488820000
2003-09-19,1391.37,1390.84,1395.6,1383.72,549840000
2003-09-18,1390.48,1388.09,1395.2,1383.4,580700000
2003-09-17,1389.82,1406.25,1406.37,1386.78,621860000
2003-09-16,1406.1,1396.75,1406.72,1389.49,666400000
2003-09-15,1397.54,1407.81,1416.08,1394.27,708670000
2003-09-12,1409.16,1426.34,1426.81,1407.95,1010000000
2003-09-11,1423.96,1422.9,1429.56,1421.82,437220000
2003-09-10,1423.18,1419.52,1424.77,1415.72,506460000
2003-09-09,1420.07,1424.69,1429.71,1414.88,625830000
2003-09-08,1425.73,1429.46,1429.56,1421.14,605600000
2003-09-05,1431.53,1446.94,1446.97,1424.17,809320000
2003-09-04,1447.42,1447.77,1453.43,1443.38,724590000
2003-09-03,1447.85,1446.28,1451.22,1438.69,737250000
2003-09-02,1446.51,1450.51,1456.55,1442.01,898160000
2003-09-01,1449.82,1423.35,1450.04,1420.12,898970000
2003-08-29,1421.98,1414.41,1422.35,1406.68,571400000
2003-08-28,1415.69,1425.73,1428.35,1414.88,474850000
2003-08-27,1425.36,1425.14,1432.35,1420.35,444660000
2003-08-26,1425.21,1420.85,1428.41,1417.83,492460000
2003-08-25,1422.18,1434.21,1434.21,1419.26,563210000
2003-08-22,1438.88,1438.79,1446.28,1436.9,511900000
2003-08-21,1441.09,1441.78,1442.86,1434.31,579430000
2003-08-20,1441.66,1449.5,1450.47,1432.75,556370000
2003-08-19,1449.71,1444.66,1453.45,1444.23,465850000
2003-08-18,1445.09,1449.67,1451.67,1442.48,499590000
2003-08-15,1450.2,1454.68,1457.63,1447.11,668250000
2003-08-14,1455.9,1464.38,1475.02,1451.61,706450000
2003-08-13,1465.83,1479.67,1481.12,1465.06,472250000
2003-08-12,1479.28,1473.99,1484.59,1472.39,407520000
2003-08-11,1474.41,1469.26,1474.72,1462.72,453310000
2003-08-08,1471.27,1487.17,1487.41,1468.44,713010000
2003-08-07,1487.37,1485.74,1497.1,1485.06,567220000
2003-08-06,1486.25,1493.03,1493.39,1482.68,550860000
2003-08-05,1494.31,1494.49,1497.01,1488.97,569130000
2003-08-04,1494.37,1476.82,1494.42,1471.89,745200000
2003-08-01,1476.97,1476.47,1478.36,1464.98,629810000
2003-07-31,1476.74,1480.01,1482.6,1474.14,556580000
2003-07-30,1479.65,1477.41,1483.07,1468.82,655210000
2003-07-29,1477.3,1470.39,1480.58,1469.93,549780000
2003-07-28,1470.39,1474.74,1474.74,1464.87,652270000
2003-07-25,1477.65,1494.58,1502.64,1471.29,1450000000
2003-07-24,1493.45,1503.06,1503.38,1491.2,649430000
2003-07-23,1502.15,1499.31,1505.31,1491.66,684620000
2003-07-22,1498.48,1499.89,1510.31,1485.46,885090000
2003-07-21,1495.88,1501.39,1504.71,1483.57,1010000000
2003-07-18,1507.16,1539.05,1539.06,1506.49,1140000000
2003-07-17,1539.36,1529.97,1540.19,1529.36,1290000000
2003-07-16,1529.49,1525.5,1529.82,1520.41,708520000
2003-07-15,1525.44,1521.56,1531,1516.89,711290000
2003-07-14,1521.41,1528.39,1529.33,1519.12,612010000
2003-07-11,1528.85,1532.64,1535.97,1523.24,1330000000
2003-07-10,1531.93,1503.51,1532.19,1501.71,1330000000
2003-07-09,1503.31,1512.34,1513.28,1499.34,548130000
2003-07-08,1512.02,1501.62,1513.55,1500.98,651910000
2003-07-07,1501.48,1500.85,1503.81,1490.97,595120000
2003-07-04,1502.35,1504.6,1510.17,1497.46,631300000
2003-07-03,1504.44,1501.9,1507.71,1497.74,651390000
2003-07-02,1499.68,1485.44,1499.97,1477.87,674920000
2003-07-01,1484.7,1485.52,1502.57,1482.82,663320000
2003-06-30,1486.02,1493.69,1500.97,1483.69,578040000
2003-06-27,1497.05,1516.81,1516.87,1494.44,768710000
2003-06-26,1515.38,1500.34,1517.21,1486.08,930010000
2003-06-25,1502.08,1512.49,1515.92,1498.96,682230000
2003-06-24,1512.43,1509.11,1515.84,1504.72,636940000
2003-06-23,1511.37,1524.58,1524.91,1509.43,733950000
2003-06-20,1529.47,1537.5,1542.42,1528.3,664880000
2003-06-19,1538.75,1554.02,1557.38,1530.38,993740000
2003-06-18,1553.88,1556.89,1565.92,1552.83,872890000
2003-06-17,1557.17,1559.12,1564.94,1552.43,719170000
2003-06-16,1559.7,1568.19,1569.55,1555.37,804090000
2003-06-13,1566.77,1562.61,1572.41,1560.3,968130000
2003-06-12,1562.11,1566.92,1569.13,1556.53,820730000
2003-06-11,1565.84,1540.72,1566.9,1540.7,1310000000
2003-06-10,1538.76,1529.53,1541.39,1529.52,679070000
2003-06-09,1530.21,1536.27,1548.14,1527.84,982740000
2003-06-06,1538.92,1553.19,1557.76,1538.1,1050000000
2003-06-05,1556.25,1575.31,1575.63,1555.45,1180000000
2003-06-04,1574.11,1560.67,1574.77,1546.62,1430000000
2003-06-03,1562.24,1577.08,1582.41,1561.08,1110000000
2003-06-02,1576.53,1577.99,1578.87,1564.61,1170000000
2003-05-30,1576.26,1570.92,1581.61,1567.28,1610000000
2003-05-29,1568.16,1549.05,1568.54,1543.34,1480000000
2003-05-28,1551.81,1569.33,1576.62,1549.06,1510000000
2003-05-27,1568.34,1572.31,1575.63,1558.13,1420000000
2003-05-26,1569.51,1563.2,1574.39,1561.04,1530000000
2003-05-23,1560.95,1547.15,1571.69,1547.09,1830000000
2003-05-22,1546.11,1532.18,1546.39,1522.19,959390000
2003-05-21,1533.48,1534.6,1547.31,1530.05,908700000
2003-05-20,1535.52,1553.69,1553.85,1530.67,1130000000
2003-05-19,1555.45,1557.29,1563.11,1546.75,1350000000
2003-05-16,1554.45,1555.91,1560.72,1543.17,1600000000
2003-05-15,1555.29,1524.5,1555.56,1516.42,2290000000
2003-05-14,1522.92,1480.11,1523.32,1477.25,1820000000
2003-05-13,1485.31,1533.08,1534.8,1481.74,2250000000
2003-05-12,1531.87,1522.98,1536.89,1511.87,1550000000
2003-04-30,1521.44,1511.15,1539.57,1510.6,1890000000
2003-04-29,1509.31,1535.88,1535.88,1508.32,1850000000
2003-04-28,1537.69,1483.47,1538.59,1473.27,2390000000
2003-04-25,1487.15,1501.57,1513.33,1481.07,1210000000
2003-04-24,1503.59,1538.58,1542.11,1492.9,1960000000
2003-04-23,1541.96,1568.13,1569.79,1540.07,1550000000
2003-04-22,1568.69,1570.57,1575.8,1563.59,1120000000
2003-04-21,1571.71,1598.5,1598.58,1557.12,2160000000
2003-04-18,1603.08,1616.9,1620.81,1596.67,2440000000
2003-04-17,1613.6,1606.23,1621.23,1595.63,2840000000
2003-04-16,1606.24,1633.53,1649.6,1598.83,3910000000
2003-04-15,1631.47,1619.95,1632.09,1606.73,3210000000
2003-04-14,1616.07,1581.38,1616.65,1581.2,3660000000
2003-04-11,1576.86,1552,1581.7,1548.53,2940000000
2003-04-10,1551.18,1546.51,1559.87,1541.29,3210000000
2003-04-09,1543.67,1519.98,1545.34,1510.34,2880000000
2003-04-08,1520.55,1515.64,1523.95,1513.23,1490000000
2003-04-07,1515.13,1521.9,1530.37,1512.5,1190000000
2003-04-04,1521.13,1510.22,1521.78,1509.61,905400000
2003-04-03,1511.73,1521.36,1522.67,1510.51,829960000
2003-04-02,1521.32,1522.49,1525.77,1516.79,979100000
2003-04-01,1522.55,1513,1525.23,1508.84,1330000000
2003-03-31,1510.58,1491.39,1511.22,1490.99,1050000000
2003-03-28,1491.94,1498.45,1508.26,1488.6,1320000000
2003-03-27,1499.35,1455.44,1507.67,1447.01,1350000000
2003-03-26,1456.27,1461.32,1465.42,1452.89,558290000
2003-03-25,1462.4,1478.05,1478.4,1461.75,572230000
2003-03-24,1477.77,1474.59,1477.97,1470.43,472710000
2003-03-21,1474.66,1464.18,1475.81,1461.91,534060000
2003-03-20,1464.54,1469.66,1477.25,1460.8,675680000
2003-03-19,1469.96,1458.58,1475.84,1452.59,662220000
2003-03-18,1459.89,1468.99,1478.99,1458.98,597670000
2003-03-17,1469.27,1465.14,1469.53,1453.37,632370000
2003-03-14,1466.04,1464.99,1471.5,1461.35,495930000
2003-03-13,1464.65,1475.04,1477.86,1463.33,532860000
2003-03-12,1475.01,1468.75,1475.29,1458.5,529340000
2003-03-11,1469.55,1467.55,1473.95,1463.58,515560000
2003-03-10,1468.92,1492.21,1496.16,1467.64,747050000
2003-03-07,1493.09,1495.69,1502.43,1489.38,705580000
2003-03-06,1498.34,1516.6,1517.35,1494.24,845440000
2003-03-05,1517.18,1524.08,1524.12,1508.25,673750000
2003-03-04,1524.3,1527.45,1529.75,1517.86,795350000
